POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
46,Kieron Pollard,189,107,248,2180,69,0,31.6,8.79,21.6,1,0
47,Ashok Dinda,78,75,251.4,2071,68,0,30.45,8.22,22.2,1,0
48,Siddharth Trivedi,76,75,251,1904,65,0,29.29,7.58,23.16,1,0
49,Jacques Kallis,98,89,290.2,2293,65,0,35.27,7.89,26.8,0,0
50,Hardik Pandya,137,60,236.3,2150,64,0,33.59,9.1,22.16,0,0
51,Muttiah Muralitharan,66,66,254,1696,63,0,26.92,6.67,24.19,0,0
52,Pat Cummins,59,59,223.8,1983,63,0,31.48,8.86,21.32,1,0
53,Mitchell Johnson,54,54,205.2,1702,61,0,27.9,8.28,20.19,0,0
54,Shakib Al Hasan,63,62,221.2,1652,59,0,28,7.46,22.5,0,0
55,James Faulkner,60,60,204.3,1778,59,0,30.13,8.69,20.79,0,2
56,Shane Warne,55,54,199,1447,57,0,25.38,7.27,20.94,1,0
57,Mitchell Starc,42,40,142.5,1179,54,0,21.8,8.27,15.8,2,0
58,Shreyas Gopal,52,51,165.1,1349,52,0,25.9,8.16,19.1,1,0
59,Jofra Archer,44,44,180.5,1389,48,0,28.94,8.15,21.31,0,0
60,Shadab Jakati,59,57,180.5,1450,47,0,30.85,8.01,23.08,2,0
61,Ryan Harris,37,37,138.4,1047,45,0,23.26,7.55,18.48,1,0
62,Anil Kumble,42,42,160.5,1058,45,0,23.51,6.57,21.44,2,1
63,Sreenath Aravind,38,38,126.4,1039,45,0,23.08,8.2,16.88,2,0
64,Yusuf Pathan,174,82,191.1,1415,42,0,33.69,7.4,27.3,0,0
65,Varun Aaron,47,45,152.4,1335,42,0,31.78,8.74,21.8,0,0
66,Shahbaz Nadeem,64,62,209.5,1570,42,0,37.38,7.48,29.97,0,0
67,Shanthakumaran Sreesanth,44,44,146.4,1194,40,0,29.85,8.14,22,0,0
68,Iqbal Abdulla,49,48,153.2,1109,40,0,27.72,7.23,23,0,0
69,Rahul Sharma,44,44,154.4,1086,40,0,27.15,7.02,23.2,0,0
70,Andrew Tye,26,26,99,822,39,0,21.07,8.3,15.23,3,1
71,Parvinder Awana,33,33,124.3,1029,39,0,26.38,8.26,19.15,1,0
72,Moises Henriques,57,55,148.2,1244,38,0,32.73,8.38,23.42,0,0
73,Doug Bollinger,27,27,96,693,37,0,18.72,7.21,15.56,1,0
74,Manpreet Gony,44,44,148,1287,37,0,34.78,8.69,24,0,0
75,Shardul Thakur,36,35,117.5,1065,36,0,29.58,9.03,19.63,0,0
76,Nathan Coulter-Nile,26,25,93.5,719,36,0,19.97,7.66,15.63,1,0
77,Yuvraj Singh,132,73,144.5,1077,36,0,29.91,7.43,24.13,2,0
78,Pradeep Sangwan,39,39,133.4,1175,35,0,33.57,8.79,22.91,0,0
79,Mitchell Starc,27,26,96.4,693,34,0,20.38,7.16,17.05,1,0
80,Dan Christian,40,40,130.3,1037,34,0,30.5,7.94,23.02,0,0
81,Pawan Negi,50,42,119.2,939,34,0,27.61,7.86,21.05,1,0
82,Kevon Cooper,25,25,96,757,33,0,22.93,7.88,17.45,1,0
83,Murali Kartik,56,55,191.3,1388,31,0,44.77,7.24,37.06,0,0
84,Thisara Perera,37,36,116.2,1016,31,0,32.77,8.73,22.51,0,0
85,Ajit Agarkar,42,42,130.2,1151,29,0,39.68,8.83,26.96,0,0
86,Azhar Mahmood,23,23,89.3,700,29,0,24.13,7.82,18.51,0,0
87,Dirk Nannes,29,29,107.4,785,28,0,28.03,7.29,23.07,0,0
88,Pravin Tambe,33,33,110,853,28,0,30.46,7.75,23.57,1,0
89,Amit Singh,23,23,78.5,620,28,0,22.14,7.86,16.89,1,0
90,Tim Southee,40,40,148,1293,28,0,46.17,8.73,31.71,0,0
91,Daniel Vettori,34,34,129.3,879,28,0,31.39,6.78,27.75,0,0
92,MF Maharoof,20,20,70,520,27,0,19.25,7.42,15.55,0,0
